origen,producto,category
Oaxaca,Camarón grande s/cabeza,crustaceos
Oaxaca,Camarón mediano c/cabeza,crustaceos
Oaxaca,Camarón mediano s/cabeza,crustaceos
Oaxaca,Jaiba entera,crustaceos
Tabasco,Camarón coctel,crustaceos
Chiapas,Camarón mediano c/cabeza,crustaceos
Chiapas,Jaiba entera,crustaceos
Chiapas,Camarón coctel,crustaceos
Tabasco,Jaiba entera,crustaceos
Sinaloa,Camarón mediano c/cabeza,crustaceos
Nayarit,Camarón coctel,crustaceos
Nayarit,Camarón chico c/cabeza,crustaceos
Baja California,Jaiba entera,crustaceos
Sinaloa,Langosta,crustaceos
Sinaloa,Langosta entera cocida,crustaceos
No especificado,Almeja chirla,moluscos
No especificado,Callo de almeja,moluscos
Campeche,Caracol,moluscos
Sonora,Calamar gigante,moluscos
Campeche,Pulpo fresco,moluscos
Campeche,Caracol burro,moluscos
Veracruz,Almeja casco,moluscos
Importación,Calamar americano,moluscos
Sinaloa,Almeja chirla,moluscos
Sinaloa,Almeja chocolata,moluscos
Michoacán,Ancas de rana,moluscos
Sinaloa,Caracol,moluscos
Sinaloa,Caracol burro,moluscos
Tamaulipas,Ostión sin concha,moluscos
Sinaloa,Almeja negra,moluscos
Tamaulipas,Calamar gigante,moluscos
Sinaloa,Callo de almeja,moluscos
Importación,Caracol,moluscos
No especificado,Ostión con concha,moluscos
No especificado,Pulpo fresco,moluscos
Oaxaca,Pulpo fresco,moluscos
Chiapas,Ostión sin concha,moluscos
Chiapas,Caracol,moluscos
Tamaulipas,Pulpo fresco,moluscos
Sinaloa,Almeja pata de mula,moluscos
Quintana Roo,Pulpo fresco,moluscos
Baja California,Almeja chirla,moluscos
Baja California,Almeja chocolata,moluscos
Veracruz,Almeja pata de mula,moluscos
Sinaloa,Calamar americano,moluscos
Baja California,Almeja pata de mula,moluscos
Tamaulipas,Filete de cazón o tiburón,filetes
Michoacán,Filete de tilapia,filetes
No especificado,Filete de cazón o tiburón,filetes
No especificado,Filete de huachinango,filetes
No especificado,Filete de mero,filetes
No especificado,Filete de tilapia,filetes
Sinaloa,Ancas de rana,filetes
No especificado,Ancas de rana,filetes
Yucatán,Filete de cazón o tiburón,filetes
Sonora,Filete de cazón o tiburón,filetes
Yucatán,Filete de huachinango,filetes
Campeche,Filete de mero,filetes
Importación,Ancas de rana,filetes
Campeche,Filete de huachinango,filetes
Oaxaca,Filete de cazón o tiburón,filetes
Chiapas,Filete de cazón o tiburón,filetes
Chiapas,Filete de tilapia,filetes
Sinaloa,Filete de tilapia,filetes
Tabasco,Sierra del Golfo,pescado
Campeche,Sierra del Pacífico,pescado
Sonora,Tiburón sin cabeza,pescado
Tabasco,Aleta de raya,pescado
Tabasco,Cojinuda,pescado
Campeche,Lebrancha,pescado
Sonora,Lisa del Pacífico,pescado
Tamaulipas,Peto o Carito,pescado
Tabasco,Rubia o Biajaiba,pescado
Sonora,Sierra del Pacífico,pescado
Tabasco,Trucha marina,pescado
Yucatán,Bandera,pescado
Nayarit,Huachinango Golfo,pescado
Nayarit,Robalo,pescado
Aguascalientes,Bacoca,pescado
Nayarit,Sierra del Golfo,pescado
Tamaulipas,Sargo,pescado
Sonora,Lenguado grande,pescado
Tamaulipas,Trucha marina,pescado
Chiapas,Curbina,pescado
Sinaloa,Aleta de raya,pescado
Sinaloa,Bacoca,pescado
Baja California Sur,Curbina,pescado
Baja California Sur,Guitarra,pescado
Baja California Sur,Huachinango grande,pescado
Baja California Sur,Marlín,pescado
Sinaloa,Mojarra plateada,pescado
Sinaloa,Robalo chico,pescado
Sinaloa,Robalo del pacífico,pescado
Baja California Sur,Verdillo,pescado
Colima,Tiburón sin cabeza,pescado
Baja California Sur,Cazón tripa,pescado
Sinaloa,Huachinango grande,pescado
Baja California Sur,Pierna,pescado
Sinaloa,Cóndor,pescado
Sinaloa,Constantino,pescado
Baja California Sur,Lisa macho,pescado
Baja California Sur,Lenguado chico,pescado
Baja California Sur,Lucero,pescado
Sinaloa,Lisa macho,pescado
Baja California Sur,Pargo blanco,pescado
Baja California Sur,Ratón,pescado
Baja California,Cazón tripa,pescado
Baja California,Huachinango grande,pescado
